order_id,customer_age,region,membership,channel,category,price,quantity,amount
O01193,29.0,서울,basic,web,식품,29900.0,1,29900.0
O00528,21.0,서울,vip,app,패션,9900.0,1,
O00494,52.0,서울,basic,app,뷰티,49900.0,1,
O00300,42.0,서울,basic,app,뷰티,29900.0,1,29900.0
O00467,29.0,서울,basic,web,뷰티,19900.0,1,19900.0
O01100,45.0,서울,basic,web,식품,249900.0,2,499800.0
O00361,40.0,서울,gold,app,패션,29900.0,1,29900.0
O01288,32.0,서울,basic,app,도서,89900.0,2,179800.0
O00675,23.0,경기,basic,app,식품,19900.0,2,39800.0
O00434,33.0,서울,silver,web,패션,19900.0,1,19900.0
O00608,38.0,서울,vip,web,가전,19900.0,2,39800.0
O00588,40.0,서울,silver,app,뷰티,19900.0,1,19900.0
O00726,49.0,인천,basic,app ,가전,9900.0,2,19800.0
O01072,50.0,서울,vip,app,도서,89900.0,1,89900.0
O00832,36.0,경기,basic,app,도서,19900.0,1,19900.0
O01312,52.0,인천,silver,app ,식품,19900.0,2,39800.0
O00731,42.0,서울,silver,web,식품,49900.0,1,49900.0
O00405,20.0,서울,silver,app,가전,49900.0,1,49900.0
O00125,44.0,서울,basic,app,식품,19900.0,1,19900.0
O00806,38.0,부산,basic,APP,도서,29900.0,1,29900.0
O00680,41.0,인천,silver,web,뷰티,49900.0,2,99800.0
O01220,16.0,서울,basic,web,패션,19900.0,2,39800.0
O01127,34.0,서울,basic,app,식품,249900.0,1,249900.0
O00773,49.0,서울,basic,web,뷰티,49900.0,1,49900.0
O00939,23.0,서울,silver,web,패션,19900.0,1,19900.0
O00876,41.0,서울,basic,web,뷰티,9900.0,2,19800.0
O00052,40.0,부산,silver,web,도서,249900.0,1,249900.0
O00360,29.0,경기,silver,app,식품,29900.0,2,59800.0
O00893,26.0,인천,basic,app,가전,49900.0,1,49900.0
O00256,45.0,경기,gold,web,패션,49900.0,2,99800.0
O01348,37.0,서울,basic,app,패션,129900.0,2,259800.0
O01350,35.0,서울,basic,app,식품,49900.0,3,149700.0
O01113,52.0,서울,basic,web,가전,19900.0,1,19900.0
O01327,35.0,서울,silver,web,도서,49900.0,2,99800.0
O01479,23.0,부산,silver,app,식품,29900.0,2,59800.0
O01376,26.0,인천,basic,web,식품,29900.0,1,29900.0
O01236,41.0,서울,gold,web,가전,19900.0,1,19900.0
O00122,40.0,인천,basic,web,뷰티,129900.0,1,129900.0
O00032,36.0,서울,silver,web,식품,9900.0,3,29700.0
O00451,27.0,부산,basic,web,패션,29900.0,3,89700.0
O01263,41.0,서울,silver,web,도서,129900.0,1,129900.0
O00973,48.0,부산,vip,web,뷰티,9900.0,1,9900.0
O01075,27.0,대구,basic,app,도서,89900.0,1,89900.0
O00133,38.0,서울,silver,app ,식품,29900.0,1,
O00731,42.0,서울,silver,web,식품,49900.0,1,49900.0
O01344,19.0,부산,vip,app,가전,49900.0,2,99800.0
O01232,38.0,서울,basic,app,식품,49900.0,1,49900.0
O00943,40.0,부산,gold,web,가전,19900.0,1,19900.0
O00649,34.0,부산,basic,app,뷰티,9900.0,1,9900.0
O00435,36.0,서울,silver,app,패션,49900.0,1,49900.0
O00507,49.0,대구,basic,APP,도서,49900.0,2,99800.0
O01296,41.0,서울,silver,web,가전,19900.0,1,19900.0
O00393,30.0,서울,gold,app,뷰티,9900.0,3,29700.0
O00760,36.0,부산,basic,app,패션,29900.0,1,29900.0
O01426,62.0,대구,vip,web,패션,29900.0,1,29900.0
O00919,46.0,부산,basic,app,뷰티,49900.0,2,99800.0
O00761,58.0,서울,gold,web,도서,19900.0,2,39800.0
O00507,49.0,대구,basic,APP,도서,49900.0,2,99800.0
O00367,20.0,대구,basic,web,패션,29900.0,1,29900.0
O00475,37.0,경기,basic,app,패션,29900.0,2,59800.0
O00447,30.0,대구,basic,app,뷰티,89900.0,2,179800.0
O01108,32.0,부산,basic,web,도서,19900.0,3,59700.0
O00097,25.0,경기,basic,APP,도서,129900.0,2,259800.0
O00801,46.0,부산,gold,web,가전,9900.0,1,9900.0
O00905,36.0,경기,silver,app,패션,29900.0,3,89700.0
O01163,39.0,서울,basic,app,가전,29900.0,1,29900.0
O00809,26.0,경기,basic,web,가전,89900.0,3,269700.0
O00035,27.0,대구,basic,web,뷰티,19900.0,2,39800.0
O01341,45.0,서울,basic,web,도서,19900.0,3,59700.0
O00759,37.0,인천,basic,web,가전,9900.0,2,19800.0
O00839,44.0,경기,basic,app ,가전,19900.0,1,19900.0
O01111,48.0,인천,gold,app,식품,19900.0,1,19900.0
O00455,35.0,서울,vip,app ,뷰티,29900.0,2,59800.0
O00020,,서울,vip,app,뷰티,9900.0,3,29700.0
O01081,28.0,부산,basic,app,식품,29900.0,2,59800.0
O01491,36.0,서울,basic,web,식품,19900.0,2,39800.0
O01410,19.0,인천,basic,app,패션,9900.0,2,19800.0
O00325,36.0,대구,silver,app,가전,89900.0,2,179800.0
O00082,40.0,경기,basic,app,도서,89900.0,1,89900.0
O01086,23.0,경기,silver,web,식품,29900.0,2,59800.0
O01479,23.0,부산,silver,app,식품,29900.0,2,59800.0
O01018,46.0,경기,basic,app,가전,89900.0,3,269700.0
O01150,35.0,인천,basic,app,뷰티,19900.0,1,19900.0
O00486,34.0,대구,basic,app,패션,9900.0,2,
O00610,50.0,부산,vip,APP,도서,19900.0,1,19900.0
O01499,40.0,서울,basic,web,식품,29900.0,2,59800.0
O00856,50.0,서울,basic,web,도서,29900.0,1,29900.0
O00919,46.0,부산,basic,app,뷰티,49900.0,2,99800.0
O00300,42.0,서울,basic,app,뷰티,29900.0,1,29900.0
O00821,46.0,인천,vip,web,식품,49900.0,1,
O00219,31.0,경기,vip,app,식품,9900.0,1,9900.0
O00988,48.0,경기,gold,web,도서,49900.0,1,49900.0
O00529,28.0,서울,basic,APP,뷰티,29900.0,1,29900.0
O00636,45.0,경기,gold,web,뷰티,29900.0,1,29900.0
O00662,48.0,대구,silver,app,도서,129900.0,3,389700.0
O00044,27.0,대구,basic,web,식품,89900.0,1,89900.0
O00425,50.0,서울,gold,app,뷰티,9900.0,1,9900.0
O01351,18.0,인천,silver,app,가전,9900.0,1,9900.0
O00715,29.0,서울,silver,APP,패션,19900.0,2,39800.0
O01084,48.0,인천,basic,app,뷰티,19900.0,2,39800.0
O00786,36.0,대구,basic,web,뷰티,29900.0,2,59800.0
O00656,28.0,서울,basic,web,가전,9900.0,2,19800.0
O00671,51.0,서울,silver,web,뷰티,9900.0,1,9900.0
O00462,29.0,경기,basic,web,식품,9900.0,2,19800.0
O01051,30.0,인천,basic,app ,도서,9900.0,3,29700.0
O00752,45.0,대구,vip,app ,뷰티,9900.0,1,9900.0
O01173,44.0,경기,silver,web,뷰티,129900.0,1,129900.0
O01012,,대구,gold,web,패션,49900.0,1,49900.0
O00407,34.0,서울,vip,app,도서,129900.0,3,389700.0
O00188,32.0,경기,basic,web,도서,29900.0,1,29900.0
O00690,17.0,서울,silver,web,뷰티,29900.0,2,59800.0
O00869,35.0,인천,basic,app,도서,19900.0,1,19900.0
O00763,17.0,서울,gold,app,가전,19900.0,3,59700.0
