순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,홈경기수
1,삼성,90,54,34,2,0.614,0,7승0무3패,1패,28-1-16,26-1-18,45
2,KT,88,51,35,2,0.593,2,7승1무2패,7승,26-1-19,25-1-16,46
3,LG,90,52,38,0,0.578,3,2승0무8패,6패,30-0-18,22-0-20,48
4,KIA,92,49,41,2,0.544,6,5승0무5패,1패,25-2-17,24-0-24,44
5,두산,92,47,42,3,0.528,7.5,7승1무2패,3승,25-1-17,22-2-25,43
6,한화,88,41,44,3,0.482,11.5,3승1무6패,1승,18-2-25,23-1-19,45
7,NC,87,41,45,1,0.477,12,5승0무5패,1승,22-0-23,19-1-22,45
8,롯데,90,40,48,2,0.455,14,5승0무5패,1패,16-0-26,24-2-22,42
9,SSG,92,33,56,3,0.371,21.5,3승0무7패,1승,15-2-26,18-1-30,43
10,키움,93,33,58,2,0.363,22.5,4승1무5패,1승,20-1-29,13-1-29,50
