구분,max_depth,CV 평균,CV 표준편차,min_samples_leaf,학습 점수,테스트 점수,격차(학습-테스트)
Tree_max_depth,2,0.8867,0.0077,,,,
Tree_max_depth,3,0.8879,0.003,,,,
Tree_max_depth,5,0.8913,0.004,,,,
Tree_max_depth,8,0.8874,0.0026,,,,
Tree_max_depth,12,0.8773,0.0023,,,,
Tree_max_depth,None(무제한),0.8537,0.0017,,,,
RandomForest_min_samples_leaf,,0.8928,0.0049,1.0,0.9998,0.9011,0.0987
RandomForest_min_samples_leaf,,0.8957,0.0043,5.0,0.9515,0.8994,0.0521
RandomForest_min_samples_leaf,,0.8972,0.0031,20.0,0.9183,0.9019,0.0164
RandomForest_min_samples_leaf,,0.8979,0.0045,50.0,0.9055,0.899,0.0065
