threshold,n_positive_pred,precision,recall,f1
0.1,3615,0.4605809128630705,0.8726415094339622,0.6029331884845193
0.15,3050,0.52,0.8312368972746331,0.6397741024606697
0.2,2801,0.5512317029632274,0.8092243186582809,0.6557655553196008
0.25,2606,0.5748273215656178,0.7851153039832285,0.66371289322109
0.3,2448,0.5943627450980392,0.7625786163522013,0.6680440771349863
0.35,2227,0.6214638527166592,0.7253668763102725,0.6694074969770254
0.4,1984,0.65625,0.6823899371069182,0.6690647482014388
0.45,1715,0.6862973760932944,0.6168763102725366,0.649737786364891
0.5,1427,0.7231955150665732,0.5408805031446541,0.6188905547226387
0.55,1195,0.7732217573221757,0.48427672955974843,0.5955526909442475
0.6,995,0.8160804020100503,0.42557651991614254,0.5594212883224251
0.65,819,0.8437118437118437,0.36215932914046123,0.5067840117345068
0.7,659,0.8861911987860395,0.3060796645702306,0.45500584339696143
