서비스_업종_코드_명,칸수,평균점포,순감소확률,예측_폐업률,예측_개업률,순증감률,순감소_순위,폐업률_순위
분식전문점,276,8.097826086956522,0.2076753715482915,4.962661603239385,3.916840797792715,-1.0458208054466702,5,3
양식음식점,116,11.60344827586207,0.23738916534212254,4.445151649433836,3.8364303820661925,-0.6087212673676432,3,7
일식음식점,74,8.364864864864865,0.19737906157971347,4.587831066537466,3.7329747832335296,-0.8548562833039361,9,6
제과점,133,7.473684210526316,0.1950942750368276,4.425382917564001,3.366687284104058,-1.0586956334599429,10,8
중식음식점,94,9.893617021276595,0.20659818674270652,4.911197479312849,4.046376410050911,-0.8648210692619376,6,4
치킨전문점,149,6.503355704697986,0.2025648620789083,5.198686706755264,3.0953371670367713,-2.1033495397184923,7,2
커피-음료,616,12.417207792207792,0.23761408172176665,4.878209401497574,4.297901493967647,-0.5803079075299271,2,5
패스트푸드점,104,6.8173076923076925,0.20117865937381366,5.553480923722594,3.7562699466204754,-1.7972109771021185,8,1
한식음식점,825,21.303030303030305,0.2528295226870276,3.9753650557414293,4.026155202806939,0.050790147065510105,1,10
호프-간이주점,350,11.24,0.23083568385796047,4.021009032996538,2.913193706539603,-1.1078153264569353,4,9
