,AME(%p),p값,유의
log_점포수,14.28032071447592,2.8204361293212605e-164,***
svc_패스트푸드점,13.88628191381906,2.5601659798247653e-19,***
외식_비중,-13.839547911621503,5.181130141506253e-06,***
svc_치킨전문점,10.56373253829833,4.360468800696166e-10,***
svc_일식음식점,10.049476466100762,1.1976240186381205e-09,***
svc_제과점,9.53673253940121,1.5761499746761214e-11,***
svc_분식전문점,9.266214613348673,7.045985925078508e-19,***
svc_양식음식점,8.018410661557072,8.13468223076737e-09,***
svc_호프-간이주점,6.954349727290274,3.2066780956760477e-16,***
svc_커피-음료,6.441203715723674,3.7507120887242803e-19,***
svc_중식음식점,5.862158071816309,0.0001306167383752436,***
log_면적,-1.385269689833295,0.031512276338941346,*
log_집객시설,-1.2423280279134075,0.009720663113150904,**
fr_50%+,-1.0600408725646804,0.4388811279906385,
fr_0~20%,-1.0427038007914464,0.09007257850963678,
log_유동인구,0.7204409414895777,0.0776263657809116,
fr_20~50%,-0.0669044684536061,0.9286261050668952,
