업종,점심비중,저녁비중,청년비중,주말비중,가장 유리한 구성,가장 불리한 구성
분식전문점,0.052290969067077114,-0.06105587745242657,-0.010706730234230188,0.10773995290670335,저녁비중,주말비중
양식음식점,-0.017056604770083243,-0.09230263894139598,-0.046835442886942316,0.009380234270999287,저녁비중,주말비중
일식음식점,-0.3994394446653773,0.16398012915611487,0.03516847963203709,-0.18954182823462062,점심비중,저녁비중
제과점,-0.0979652857134182,-0.002760227538236071,0.04059695847643338,0.12414935333919286,점심비중,주말비중
중식음식점,0.49263882679104093,-0.3411508985549751,-0.15029305235857132,0.35812309071337356,저녁비중,점심비중
치킨전문점,0.0869869688334581,-0.07624481164042299,0.019422155886063414,0.28971637900572966,저녁비중,주말비중
커피-음료,-0.13180772639025787,0.015986638000377654,-0.041858183572044336,-0.005072781664552259,점심비중,저녁비중
패스트푸드점,-0.029530175516633294,-0.047317765069260234,0.015358810752402502,0.04218235418947739,저녁비중,주말비중
한식음식점,-0.025216336931203898,-0.06821888456134863,-0.13687972854964364,-0.04553704259834244,청년비중,점심비중
호프-간이주점,0.12736895291129066,-0.02631373358115375,0.09635361055042047,0.1568386578825387,저녁비중,주말비중
