업종,그룹수,n,H,p,eps2,유의(Bonferroni),효과크기
호프-간이주점,3,709,86.85529304369788,1.3791539687415563e-19,0.12019163320637094,True,중간
커피-음료,3,1006,67.44179032059222,2.26569427379783e-15,0.06524605216409991,True,중간
한식음식점,3,1306,81.03237105106693,2.5353866456697706e-18,0.06065416043827086,True,중간
양식음식점,3,352,18.84151299279047,8.102470122422004e-05,0.04825648422003,True,작음
분식전문점,3,637,32.48303694165261,8.838898573474585e-08,0.048080499907969414,True,작음
일식음식점,3,307,15.605418105329916,0.0004086264875018828,0.04475466482016419,True,작음
제과점,3,347,12.942088662865466,0.001547608672318441,0.0318083972757717,True,작음
중식음식점,3,302,10.980296964433823,0.004127231308302352,0.030034438008139874,True,작음
패스트푸드점,3,322,7.1447705307995975,0.028088774529307487,0.01612780730658181,False,작음
치킨전문점,3,341,2.06991660732466,0.3552411928728798,0.00020685386782443783,False,무시할 수준
